,nome,cpf,idade,data,endereco,estado,pais
0,Ana Clara Araújo,108.296.435-24,32,01/04/93,"Pátio de Duarte, 71
Vila Boa Vista
51331366 Viana da Mata / TO",Roraima,Brasil
1,João Pedro Cavalcante,821.754.630-44,52,23/05/73,"Aeroporto Natália Gonçalves, 21
Marieta 2ª Seção
71915794 Farias / RO",Tocantins,Brasil
2,Breno Rezende,312.069.574-25,24,05/05/01,"Viaduto Valentina Cirino, 5
Cidade Jardim Taquaril
99686281 da Mota / DF",Amapá,Brasil
3,Pietra Viana,539.468.201-15,18,03/01/07,"Loteamento de Cassiano, 49
Esplanada
71688892 Garcia / ES",Espírito Santo,Brasil
4,Luiz Felipe Sousa,403.765.812-71,20,19/08/05,"Estação de Santos, 71
São Geraldo
57405357 Campos / MT",Amapá,Brasil
5,Srta. Ana Luiza Machado,658.041.732-35,27,17/02/98,"Rua Santos, 53
Vila Do Pombal
55369-171 Melo / MS",Ceará,Brasil
6,Yago da Paz,328.410.967-69,37,27/08/88,"Trecho de Mendonça
Barão Homem De Melo 2ª Seção
75146-925 Fogaça / SP",Espírito Santo,Brasil
7,Mariane Abreu,259.864.013-60,38,30/06/87,"Favela de da Rosa, 7
Alípio De Melo
62455-012 Novaes / MG",Rio Grande do Norte,Brasil
8,Maitê Nogueira,845.703.921-05,54,30/03/71,"Feira José Costela, 61
Mantiqueira
95202-083 Castro / ES",Rondônia,Brasil
9,Luísa Fernandes,421.768.905-58,36,29/09/88,"Praia Nunes, 68
Vila São João Batista
02803-330 Novaes do Campo / AM",Tocantins,Brasil
